"Carimbo de data/hora","Qual sua idade?","Qual seu gênero?","Em qual estado você mora? Ou morou maior parte da sua vida ","Qual sua escolaridade?","Você já experimentou alguma comida peruana?","Você sabia que o milho faz parte da base da alimentação dessa região?","Quais dessas opções você acha que são comidas clássicas da culinária peruanas ?","Na sua opinião existe espaço no Brasil para comida de outros países?","Quais os dois tipos de milho que são muito usados no Peru? ","Você acha que existe alguma comida brasileira com influência da culinária peruana? Se sim, qual ? ","Na sua opinião as diferentes altitudes e biomas influenciam no desenvolvimento de diversidade de milho, criando assim várias espécies?","",""
"2024/05/16 5:26:00 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior completo","Não","Não","Ceviche","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 5:50:22 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Pratos com Milho","Sim","",""
"2024/05/16 6:08:06 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Não sei dizer","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Talvez","",""
"2024/05/16 6:13:13 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Ensino médio completo","Não sei dizer","Não","Tamal","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 6:16:23 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Pamonha","Sim","",""
"2024/05/16 6:22:40 PM GMT-3","31 a 40","Feminino","Distrito Federal (DF)","Superior completo","Não","Sim","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 6:31:27 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/16 7:16:55 PM GMT-3","18 a 30","Masculino","Mato Grosso (MT)","Superior incompleto","Não sei dizer","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 7:36:17 PM GMT-3","18 a 30","Feminino","Rio Grande do Sul (RS)","Ensino médio completo","Não","Não","Tamal","Sim","Milho roxo e milho amarelo","Não","Talvez","",""
"2024/05/16 8:06:12 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Ensino médio completo","Não sei dizer","Sim","Chicha morada;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 8:16:37 PM GMT-3","41 a 50","Feminino","Rio de Janeiro (RJ)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho amarelo e milho branco","Pamonha","Sim","",""
"2024/05/16 8:26:00 PM GMT-3","41 a 50","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Pamonha","Sim","",""
